item,label_en,desc_en,desc_de,instance_1,ref_inst_1,instance_2,instance_3,subclass,website_url,website_lang,twitter_handle,twitter_start,twitter_id
Q98276929,NFDI4Culture,Consortium for research data on material and immaterial cultural heritage,- Konsortium für Forschungsdaten zu materiellen und immateriellen Kulturgütern,Q98270496,https://www.gwk-bonn.de/fileadmin/Redaktion/Dokumente/Pressemitteilungen/pm2020-04.pdf,Q96678469,Q61658497,Q43229,https://nfdi4culture.de,Q1860,nfdi4culture,2018,1066991160533635072
Q96678459,NFDI4Chem,national research data infrastructure for chemistry in Germany,Fachkonsortium Chemie in der NFDI,Q98270496,https://www.gwk-bonn.de/fileadmin/Redaktion/Dokumente/Pressemitteilungen/pm2020-04.pdf,Q96678469,Q61658497,Q43229,https://www.nfdi4chem.de,Q1860,Nfdi4Chem,2019,1187636394904211461
DataPlant,DataPlant,Data in basic plant research,Daten in Pflanzen-Grundlagenforschung,Q98270496,https://www.gwk-bonn.de/fileadmin/Redaktion/Dokumente/Pressemitteilungen/pm2020-04.pdf,Q96678469,Q61658497,Q43229,http://nfdi4plants.de,Q1860,nfdi4plants,2020,1262680568820629505
GHGA,GHGA,German Human Genome Phenome Archive ,Deutsches Humangenom-Phenomarchiv ,Q98270496,https://www.gwk-bonn.de/fileadmin/Redaktion/Dokumente/Pressemitteilungen/pm2020-04.pdf,Q96678469,Q61658497,Q43229,https://ghga.dkfz.de,Q188,GHGA_DE,2019,1165545234249527296
KonsortSWD,KonsortSWD,"Consortium for the social, educational, behavioural and economic sciences","Konsortium für die Sozial-, Bildungs-, Verhaltens- und Wirtschaftswissenschaften",Q98270496,https://www.gwk-bonn.de/fileadmin/Redaktion/Dokumente/Pressemitteilungen/pm2020-04.pdf,Q96678469,Q61658497,Q43229,https://www.ratswd.de/konsortswd,Q188,KonsortSwd,2020,1280855972412624899
NFDI4BioDiversity,NFDI4BioDiversity,"Biodiversity, ecology and environmental data","Biodiversität, Ökologie und Umweltdaten",Q98270496,https://www.gwk-bonn.de/fileadmin/Redaktion/Dokumente/Pressemitteilungen/pm2020-04.pdf,Q96678469,Q61658497,Q43229,https://www.nfdi4biodiversity.org,Q1860,NFDI4BioDiv,2019,1105787358987935749
NFDI4Cat,NFDI4Cat,NFDI for sciences related to catalysis,NFDI für Wissenschaften mit Bezug zur Katalyse,Q98270496,https://www.gwk-bonn.de/fileadmin/Redaktion/Dokumente/Pressemitteilungen/pm2020-04.pdf,Q96678469,Q61658497,Q43229,http://gecats.org/NFDI4Cat.html,Q1860,,,
NFDI4Health,NFDI4Health,National Research Data Infrastructure for Personal Health Data,Nationale Forschungsdateninfrastruktur für personenbezogene Gesundheitsdaten,Q98270496,https://www.gwk-bonn.de/fileadmin/Redaktion/Dokumente/Pressemitteilungen/pm2020-04.pdf,Q96678469,Q61658497,Q43229,https://www.nfdi4health.de,Q188,NFDI4Health,2020,1237661914441932801
NFDI4Ing,NFDI4Ing,National Research Data Infrastructure for Engineering Sciences ,Nationale Forschungsdateninfrastruktur für die Ingenieurwissenschaften,Q98270496,https://www.gwk-bonn.de/fileadmin/Redaktion/Dokumente/Pressemitteilungen/pm2020-04.pdf,Q96678469,Q61658497,Q43229,https://nfdi4ing.de,Q1860,NFDI4Ing,2020,1290910952955744257
Q98229157,NFDI4Objects,Research Data Infrastructure for the Material Remains of Human History,Forschungsdateninfrastruktur für die materiellen Hinterlassenschaften der Menschheitsgeschichte,Q98270492,https://www.dfg.de/foerderung/programme/nfdi/konferenz_2020/konferenzabstracts/index.html,Q96678469,,Q43229,https://www.nfdi4objects.net,Q1860,nfdi4objects,2020,1237655102221094912
Q98231721,NFDI4Memory,The Consortium for the Historically Oriented Humanities,Das Konsortium für die historisch orientierten Geisteswissenschaften,Q98270492,https://www.dfg.de/foerderung/programme/nfdi/konferenz_2020/konferenzabstracts/index.html,Q96678469,,Q43229,https://4memory.de,Q1860,NFDI4memory,2019,1194581872036253696
Q98271443,Text+,Research Data Infrastructure for text- and language-based research data,Forschungsdateninfrastruktur für geisteswissenschaftliche Text- und Sprachdaten,Q98270492,https://www.dfg.de/foerderung/programme/nfdi/konferenz_2020/konferenzabstracts/index.html,Q96678469,,Q43229,https://www.text-plus.org,Q188,Textplus_NFDI,2020,1280783046208376832
